model,segment,precision_at_k,recall_at_k,map_at_k,ndcg_at_k
profile_baseline,daily_life,0.09268292682926829,0.4634146341463415,0.23536585365853657,0.2912753781591579
hybrid_semantic,daily_life,0.09170731707317073,0.4585365853658537,0.23414634146341465,0.2891368723623035
time_decay,daily_life,0.09073170731707318,0.45365853658536587,0.23317073170731706,0.28723304745807315
implicit_mf,daily_life,0.07512195121951219,0.375609756097561,0.14918699186991868,0.20450248939759272
neural_cf,daily_life,0.06536585365853659,0.32682926829268294,0.15772357723577238,0.1992345396597492
lightgcn,daily_life,0.059512195121951224,0.2975609756097561,0.1431707317073171,0.18112673818255784
item_knn,daily_life,0.06243902439024391,0.3121951219512195,0.13853658536585364,0.1810198493387118
profile_baseline,digital_pro,0.08571428571428573,0.42857142857142855,0.236281179138322,0.2840017562746412
time_decay,digital_pro,0.08571428571428573,0.42857142857142855,0.22947845804988662,0.2787140435691553
hybrid_semantic,digital_pro,0.08435374149659865,0.4217687074829932,0.23095238095238096,0.2783878345359358
lightgcn,digital_pro,0.058503401360544216,0.2925170068027211,0.14750566893424036,0.18272678276570833
neural_cf,digital_pro,0.06258503401360545,0.3129251700680272,0.13900226757369616,0.18136451612966709
item_knn,digital_pro,0.0598639455782313,0.29931972789115646,0.135827664399093,0.1751457407911792
implicit_mf,digital_pro,0.05306122448979592,0.2653061224489796,0.12528344671201816,0.1597872166052814
time_decay,family,0.09012345679012347,0.4506172839506173,0.24444444444444446,0.2953709881581396
profile_baseline,family,0.09135802469135802,0.4567901234567901,0.2205761316872428,0.27895559853251406
hybrid_semantic,family,0.09012345679012347,0.4506172839506173,0.217798353909465,0.27523271034278146
neural_cf,family,0.08395061728395063,0.41975308641975306,0.15915637860082305,0.22260503536854742
item_knn,family,0.07777777777777779,0.3888888888888889,0.15329218106995884,0.2108191968251521
lightgcn,family,0.07530864197530865,0.3765432098765432,0.15689300411522633,0.21043891095080117
implicit_mf,family,0.07777777777777779,0.3888888888888889,0.1484567901234568,0.2068369447493611
time_decay,investor,0.11500000000000002,0.575,0.25916666666666666,0.33703349563679386
profile_baseline,investor,0.1125,0.5625,0.2520833333333333,0.32821289376138385
hybrid_semantic,investor,0.1125,0.5625,0.25083333333333335,0.3271172999904126
item_knn,investor,0.065,0.325,0.16333333333333333,0.20240669237597847
lightgcn,investor,0.0625,0.3125,0.16083333333333333,0.1975710322855467
implicit_mf,investor,0.052500000000000005,0.2625,0.16479166666666667,0.1889369249257856
neural_cf,investor,0.06000000000000001,0.3,0.15041666666666667,0.18670765420518992
time_decay,student,0.08686868686868686,0.43434343434343436,0.22760942760942762,0.2785437054920098
hybrid_semantic,student,0.08080808080808081,0.40404040404040403,0.2202020202020202,0.26453482057415084
profile_baseline,student,0.0787878787878788,0.3939393939393939,0.21868686868686868,0.261069880610558
neural_cf,student,0.06666666666666667,0.3333333333333333,0.15824915824915825,0.20128398514476276
implicit_mf,student,0.06262626262626263,0.31313131313131315,0.16161616161616163,0.19895647643188066
lightgcn,student,0.05656565656565657,0.2828282828282828,0.16683501683501684,0.19564743809014146
item_knn,student,0.05454545454545455,0.2727272727272727,0.1676767676767677,0.19362467853965598
hybrid_semantic,traveler,0.09906542056074767,0.4953271028037383,0.25825545171339565,0.31651696279424346
profile_baseline,traveler,0.09906542056074767,0.4953271028037383,0.2562305295950156,0.31488375247265177
time_decay,traveler,0.09532710280373832,0.4766355140186916,0.2485981308411215,0.30477936416187823
lightgcn,traveler,0.06168224299065421,0.308411214953271,0.15716510903426792,0.19470108294263902
neural_cf,traveler,0.06168224299065421,0.308411214953271,0.14205607476635512,0.18295165274494363
item_knn,traveler,0.059813084112149535,0.29906542056074764,0.14080996884735203,0.17974071297540356
implicit_mf,traveler,0.06168224299065421,0.308411214953271,0.13598130841121495,0.17881592690008793
